Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,1874,4937,2.634471718,,1905,8723,4.579002625,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,1980,5009,2.52979798,,2007,9703,4.834578974,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,1983,5157,2.600605144,,1950,8999,4.614871795,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,2012,5083,2.526341948,,2005,9099,4.538154613,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,2085,4892,2.346282974,,2128,9728,4.571428571,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,2111,4825,2.285646613,,2138,8671,4.055659495,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,2087,4400,2.108289411,,2110,8187,3.880094787,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,1961,4314,2.199898011,,1961,8090,4.125446201,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,1875,4305,2.296,,1891,9167,4.84769963,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,1824,4332,2.375,,1875,9610,5.125333333,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,1713,3632,2.120256859,,1720,8058,4.684883721,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,651,1392,2.138248848,,629,4051,6.440381558,
2020Q3,p,SB0801,,SB0801,d,Elective Inpatients,,1182,2484,2.101522843,,1192,6104,5.120805369,
2015Q3,,S08000015,,S08000015,d,Elective Inpatients,,1862,4899,2.63104189,,1922,6335,3.296045786,
2015Q4,,S08000015,,S08000015,d,Elective Inpatients,,1784,5278,2.958520179,,1867,7052,3.777182646,
2016Q1,,S08000015,,S08000015,d,Elective Inpatients,,1568,4485,2.860331633,,1660,6192,3.730120482,
2016Q2,,S08000015,,S08000015,d,Elective Inpatients,,1653,4672,2.826376286,,1733,5812,3.35372187,
2016Q3,,S08000015,,S08000015,d,Elective Inpatients,,1514,4085,2.698150594,,1583,5432,3.431459255,
2016Q4,,S08000015,,S08000015,d,Elective Inpatients,,1635,4756,2.908868502,,1725,5981,3.467246377,
2017Q1,,S08000015,,S08000015,d,Elective Inpatients,,1613,4416,2.737755735,,1680,5448,3.242857143,
2017Q2,,S08000015,,S08000015,d,Elective Inpatients,,1505,4415,2.933554817,,1585,5515,3.479495268,
2017Q3,,S08000015,,S08000015,d,Elective Inpatients,,1533,4314,2.81409002,,1576,5806,3.684010152,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,1462,4225,2.889876881,,1552,5727,3.69007732,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,1300,3684,2.833846154,,1369,4675,3.414901388,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,1405,3936,2.801423488,,1471,5268,3.581237254,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,1361,3551,2.609110948,,1445,4811,3.329411765,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,1451,4083,2.813921433,,1532,6135,4.004569191,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,1569,3479,2.217335883,,1622,4670,2.879161529,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,1513,3828,2.530072703,,1584,5278,3.332070707,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,1350,3827,2.834814815,,1428,4674,3.273109244,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,1298,3596,2.770416025,,1362,4709,3.457415565,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,1178,3194,2.711375212,,1237,4506,3.642683913,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,304,813,2.674342105,,316,1281,4.053797468,
2020Q3,p,S08000015,,S08000015,d,Elective Inpatients,,718,2372,3.30362117,,747,2835,3.795180723,
2015Q3,,S08000015,,A210H,,Elective Inpatients,,1006,2605,2.589463221,,1015,3324,3.274876847,
2015Q4,,S08000015,,A210H,,Elective Inpatients,,931,2400,2.577873255,,955,3445,3.607329843,
2016Q1,,S08000015,,A210H,,Elective Inpatients,,749,2330,3.110814419,,766,3074,4.01305483,
2016Q2,,S08000015,,A210H,,Elective Inpatients,,834,2320,2.78177458,,840,2614,3.111904762,
2016Q3,,S08000015,,A210H,,Elective Inpatients,,735,1965,2.673469388,,750,2480,3.306666667,
2016Q4,,S08000015,,A210H,,Elective Inpatients,,810,2295,2.833333333,,823,2706,3.287970838,
2017Q1,,S08000015,,A210H,,Elective Inpatients,,806,2245,2.785359801,,825,2665,3.23030303,
2017Q2,,S08000015,,A210H,,Elective Inpatients,,720,2170,3.013888889,,732,2638,3.603825137,
2017Q3,,S08000015,,A210H,,Elective Inpatients,,665,1880,2.827067669,,680,2365,3.477941176,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,709,2100,2.961918195,,723,2764,3.822959889,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,657,1930,2.937595129,,665,2315,3.481203008,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,660,1910,2.893939394,,675,2624,3.887407407,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,625,1860,2.976,,650,2608,4.012307692,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,734,1970,2.683923706,,750,2519,3.358666667,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,740,1770,2.391891892,,740,2219,2.998648649,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,705,1805,2.560283688,,715,2505,3.503496503,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,645,1845,2.860465116,,650,2136,3.286153846,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,678,1630,2.404129794,,690,2137,3.097101449,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,700,1745,2.492857143,,715,2425,3.391608392,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,182,430,2.362637363,,185,734,3.967567568,
2020Q3,p,S08000015,,A210H,,Elective Inpatients,,463,1250,2.699784017,,475,1304,2.745263158,
2015Q3,,S08000015,,A111H,,Elective Inpatients,,841,2070,2.461355529,,891,2650,2.974186308,
2015Q4,,S08000015,,A111H,,Elective Inpatients,,836,2425,2.900717703,,895,3129,3.496089385,
2016Q1,,S08000015,,A111H,,Elective Inpatients,,809,2020,2.496909765,,884,2952,3.339366516,
2016Q2,,S08000015,,A111H,,Elective Inpatients,,810,2190,2.703703704,,886,3038,3.428893905,
2016Q3,,S08000015,,A111H,,Elective Inpatients,,773,1930,2.496765847,,827,2760,3.337363966,
2016Q4,,S08000015,,A111H,,Elective Inpatients,,816,2295,2.8125,,894,3108,3.476510067,
2017Q1,,S08000015,,A111H,,Elective Inpatients,,800,2060,2.575,,851,2673,3.141010576,
2017Q2,,S08000015,,A111H,,Elective Inpatients,,782,2175,2.781329923,,849,2826,3.328621908,
2017Q3,,S08000015,,A111H,,Elective Inpatients,,859,2140,2.491268917,,886,2955,3.335214447,
2017Q4,,S08000015,,A111H,,Elective Inpatients,,741,1895,2.557354926,,817,2642,3.23378213,
2018Q1,,S08000015,,A111H,,Elective Inpatients,,640,1690,2.640625,,701,2295,3.273894437,
2018Q2,,S08000015,,A111H,,Elective Inpatients,,742,1890,2.547169811,,790,2510,3.17721519,
2018Q3,,S08000015,,A111H,,Elective Inpatients,,732,1555,2.12431694,,790,2149,2.720253165,
2018Q4,,S08000015,,A111H,,Elective Inpatients,,715,1920,2.685314685,,776,3088,3.979381443,
2019Q1,,S08000015,,A111H,,Elective Inpatients,,826,1640,1.985472155,,876,2382,2.719178082,
2019Q2,,S08000015,,A111H,,Elective Inpatients,,800,1590,1.9875,,857,2318,2.704784131,
2019Q3,,S08000015,,A111H,,Elective Inpatients,,697,1670,2.395982783,,770,2230,2.896103896,
2019Q4,,S08000015,,A111H,,Elective Inpatients,,615,1750,2.845528455,,668,2354,3.523952096,
2020Q1,,S08000015,,A111H,,Elective Inpatients,,470,1235,2.627659574,,510,1868,3.662745098,
2020Q2,,S08000015,,A111H,,Elective Inpatients,,120,335,2.791666667,,130,502,3.861538462,
2020Q3,p,S08000015,,A111H,,Elective Inpatients,,244,855,3.504098361,,260,1264,4.861538462,
2015Q3,,S08000016,,B120H,,Elective Inpatients,,328,835,2.545731707,,335,1165,3.47761194,
2015Q4,,S08000016,,B120H,,Elective Inpatients,,359,880,2.451253482,,370,1145,3.094594595,
2016Q1,,S08000016,,B120H,,Elective Inpatients,,300,675,2.25,,305,868,2.845901639,
2016Q2,,S08000016,,B120H,,Elective Inpatients,,364,710,1.950549451,,373,969,2.597855228,
2016Q3,,S08000016,,B120H,,Elective Inpatients,,350,740,2.114285714,,355,1069,3.011267606,
2016Q4,,S08000016,,B120H,,Elective Inpatients,,307,595,1.938110749,,320,904,2.825,
2017Q1,,S08000016,,B120H,,Elective Inpatients,,270,540,2,,270,806,2.985185185,
2017Q2,,S08000016,,B120H,,Elective Inpatients,,314,770,2.452229299,,325,1022,3.144615385,
2017Q3,,S08000016,,B120H,,Elective Inpatients,,328,695,2.118902439,,335,1000,2.985074627,
2017Q4,,S08000016,,B120H,,Elective Inpatients,,300,625,2.083333333,,310,869,2.803225806,
2018Q1,,S08000016,,B120H,,Elective Inpatients,,197,315,1.598984772,,195,513,2.630769231,
2018Q2,,S08000016,,B120H,,Elective Inpatients,,312,610,1.955128205,,315,969,3.076190476,
2018Q3,,S08000016,,B120H,,Elective Inpatients,,332,620,1.86746988,,341,902,2.64516129,
2018Q4,,S08000016,,B120H,,Elective Inpatients,,320,705,2.203125,,325,981,3.018461538,
2019Q1,,S08000016,,B120H,,Elective Inpatients,,266,360,1.353383459,,270,539,1.996296296,
2019Q2,,S08000016,,B120H,,Elective Inpatients,,325,590,1.815384615,,327,786,2.403669725,
2019Q3,,S08000016,,B120H,,Elective Inpatients,,350,585,1.671428571,,355,817,2.301408451,
2019Q4,,S08000016,,B120H,,Elective Inpatients,,306,530,1.732026144,,305,678,2.22295082,
2020Q1,,S08000016,,B120H,,Elective Inpatients,,207,285,1.376811594,,210,485,2.30952381,
2020Q2,,S08000016,,B120H,,Elective Inpatients,,76,150,1.973684211,,75,212,2.826666667,
2020Q3,p,S08000016,,B120H,,Elective Inpatients,,88,130,1.477272727,,90,233,2.588888889,
2015Q3,,S08000016,,S08000016,d,Elective Inpatients,,328,834,2.542682927,,335,1165,3.47761194,
2015Q4,,S08000016,,S08000016,d,Elective Inpatients,,359,881,2.454038997,,368,1145,3.111413043,
2016Q1,,S08000016,,S08000016,d,Elective Inpatients,,300,676,2.253333333,,305,868,2.845901639,
2016Q2,,S08000016,,S08000016,d,Elective Inpatients,,364,711,1.953296703,,373,969,2.597855228,
2016Q3,,S08000016,,S08000016,d,Elective Inpatients,,350,738,2.108571429,,357,1069,2.994397759,
2016Q4,,S08000016,,S08000016,d,Elective Inpatients,,307,596,1.941368078,,321,904,2.816199377,
2017Q1,,S08000016,,S08000016,d,Elective Inpatients,,270,542,2.007407407,,271,806,2.974169742,
2017Q2,,S08000016,,S08000016,d,Elective Inpatients,,314,769,2.449044586,,325,1022,3.144615385,
2017Q3,,S08000016,,S08000016,d,Elective Inpatients,,328,695,2.118902439,,335,1000,2.985074627,
2017Q4,,S08000016,,S08000016,d,Elective Inpatients,,300,625,2.083333333,,309,869,2.812297735,
2018Q1,,S08000016,,S08000016,d,Elective Inpatients,,197,317,1.609137056,,196,513,2.617346939,
2018Q2,,S08000016,,S08000016,d,Elective Inpatients,,312,612,1.961538462,,314,969,3.085987261,
2018Q3,,S08000016,,S08000016,d,Elective Inpatients,,332,618,1.861445783,,341,902,2.64516129,
2018Q4,,S08000016,,S08000016,d,Elective Inpatients,,320,706,2.20625,,324,981,3.027777778,
2019Q1,,S08000016,,S08000016,d,Elective Inpatients,,266,358,1.345864662,,271,539,1.988929889,
2019Q2,,S08000016,,S08000016,d,Elective Inpatients,,325,591,1.818461538,,327,786,2.403669725,
2019Q3,,S08000016,,S08000016,d,Elective Inpatients,,350,583,1.665714286,,357,817,2.288515406,
2019Q4,,S08000016,,S08000016,d,Elective Inpatients,,306,530,1.732026144,,307,678,2.208469055,
2020Q1,,S08000016,,S08000016,d,Elective Inpatients,,207,285,1.376811594,,212,485,2.287735849,
2020Q2,,S08000016,,S08000016,d,Elective Inpatients,,76,150,1.973684211,,77,212,2.753246753,
2020Q3,p,S08000016,,S08000016,d,Elective Inpatients,,88,129,1.465909091,,88,233,2.647727273,
2015Q3,,S08000017,,Y146H,,Elective Inpatients,,790,1515,1.917721519,,810,2265,2.796296296,
2015Q4,,S08000017,,Y146H,,Elective Inpatients,,740,1450,1.959459459,,760,2070,2.723684211,
2016Q1,,S08000017,,Y146H,,Elective Inpatients,,725,1400,1.931034483,,730,1685,2.308219178,
2016Q2,,S08000017,,Y146H,,Elective Inpatients,,774,1355,1.750645995,,786,1964,2.498727735,
2016Q3,,S08000017,,Y146H,,Elective Inpatients,,795,1400,1.761006289,,805,2005,2.49068323,
2016Q4,,S08000017,,Y146H,,Elective Inpatients,,710,1380,1.943661972,,718,1766,2.459610028,
2017Q1,,S08000017,,Y146H,,Elective Inpatients,,725,1365,1.882758621,,740,1935,2.614864865,
2017Q2,,S08000017,,Y146H,,Elective Inpatients,,705,1315,1.865248227,,720,2292,3.183333333,
2017Q3,,S08000017,,Y146H,,Elective Inpatients,,634,1370,2.160883281,,668,1825,2.732035928,
2017Q4,,S08000017,,Y146H,,Elective Inpatients,,515,1020,1.980582524,,566,1872,3.307420495,
2018Q1,,S08000017,,Y146H,,Elective Inpatients,,565,1135,2.008849558,,565,1669,2.953982301,
2018Q2,,S08000017,,Y146H,,Elective Inpatients,,558,1215,2.177419355,,617,2150,3.484602917,
2018Q3,,S08000017,,Y146H,,Elective Inpatients,,484,1005,2.076446281,,627,1534,2.446570973,
2018Q4,,S08000017,,Y146H,,Elective Inpatients,,448,985,2.198660714,,586,1509,2.575085324,
2019Q1,,S08000017,,Y146H,,Elective Inpatients,,362,820,2.26519337,,561,1541,2.74688057,
2019Q2,,S08000017,,Y146H,,Elective Inpatients,,415,865,2.084337349,,604,1670,2.764900662,
2019Q3,,S08000017,,Y146H,,Elective Inpatients,,380,915,2.407894737,,608,1766,2.904605263,
2019Q4,,S08000017,,Y146H,,Elective Inpatients,,413,930,2.251815981,,597,1551,2.59798995,
2020Q1,,S08000017,,Y146H,,Elective Inpatients,,349,690,1.977077364,,500,1261,2.522,
2020Q2,,S08000017,,Y146H,,Elective Inpatients,,136,170,1.25,,180,492,2.733333333,
2020Q3,p,S08000017,,Y146H,,Elective Inpatients,,273,340,1.245421245,,422,950,2.251184834,
2015Q3,,S08000017,,Y144H,,Elective Inpatients,,0,15, ,z,5,35,7,
2015Q4,,S08000017,,Y144H,,Elective Inpatients,,5,20,4,,10,25,2.5,
2016Q1,,S08000017,,Y144H,,Elective Inpatients,,5,5,1,,10,20,2,
2016Q2,,S08000017,,Y144H,,Elective Inpatients,,12,15,1.25,,15,25,1.666666667,
2016Q3,,S08000017,,Y144H,,Elective Inpatients,,10,5,0.5,,10,10,1,
2016Q4,,S08000017,,Y144H,,Elective Inpatients,,5,15,3,,10,24,2.4,
2017Q1,,S08000017,,Y144H,,Elective Inpatients,,0,0, ,z,5,0,0,
2017Q2,,S08000017,,Y144H,,Elective Inpatients,,10,45,4.5,,10,63,6.3,
2017Q3,,S08000017,,Y144H,,Elective Inpatients,,0,0, ,z,5,5,1,
2018Q2,,S08000017,,Y144H,,Elective Inpatients,,5,5,1,,10,10,1,
2018Q4,,S08000017,,Y144H,,Elective Inpatients,,0,10, ,z,5,10,2,
2019Q1,,S08000017,,Y144H,,Elective Inpatients,,0,0, ,z,0,5, ,z
2019Q2,,S08000017,,Y144H,,Elective Inpatients,,0,0, ,z,5,5,1,
2019Q4,,S08000017,,Y144H,,Elective Inpatients,,0,0, ,z,0,0, ,z
2020Q1,,S08000017,,Y144H,,Elective Inpatients,,5,5,1,,10,5,0.5,
2015Q3,,S08000017,,S08000017,d,Elective Inpatients,,791,1529,1.932996207,,813,2297,2.825338253,
2015Q4,,S08000017,,S08000017,d,Elective Inpatients,,746,1467,1.966487936,,766,2095,2.734986945,
2016Q1,,S08000017,,S08000017,d,Elective Inpatients,,729,1402,1.923182442,,737,1704,2.312075984,
2016Q2,,S08000017,,S08000017,d,Elective Inpatients,,786,1372,1.745547074,,801,1988,2.481897628,
2016Q3,,S08000017,,S08000017,d,Elective Inpatients,,802,1404,1.750623441,,815,2014,2.471165644,
2016Q4,,S08000017,,S08000017,d,Elective Inpatients,,718,1395,1.942896936,,728,1790,2.458791209,
2017Q1,,S08000017,,S08000017,d,Elective Inpatients,,728,1365,1.875,,745,1938,2.601342282,
2017Q2,,S08000017,,S08000017,d,Elective Inpatients,,714,1366,1.913165266,,732,2360,3.224043716,
2017Q3,,S08000017,,S08000017,d,Elective Inpatients,,637,1396,2.191522763,,674,1856,2.753709199,
2017Q4,,S08000017,,S08000017,d,Elective Inpatients,,515,1022,1.984466019,,568,1875,3.301056338,
2018Q1,,S08000017,,S08000017,d,Elective Inpatients,,586,1178,2.010238908,,587,1715,2.921635434,
2018Q2,,S08000017,,S08000017,d,Elective Inpatients,,571,1228,2.15061296,,633,2168,3.424960506,
2018Q3,,S08000017,,S08000017,d,Elective Inpatients,,504,1065,2.113095238,,648,1606,2.478395062,
2018Q4,,S08000017,,S08000017,d,Elective Inpatients,,479,1050,2.192066806,,619,1595,2.576736672,
2019Q1,,S08000017,,S08000017,d,Elective Inpatients,,403,902,2.2382134,,603,1625,2.694859038,
2019Q2,,S08000017,,S08000017,d,Elective Inpatients,,435,905,2.08045977,,630,1728,2.742857143,
2019Q3,,S08000017,,S08000017,d,Elective Inpatients,,387,925,2.390180879,,620,1780,2.870967742,
2019Q4,,S08000017,,S08000017,d,Elective Inpatients,,417,933,2.237410072,,603,1558,2.583747927,
2020Q1,,S08000017,,S08000017,d,Elective Inpatients,,363,711,1.958677686,,516,1283,2.486434109,
2020Q2,,S08000017,,S08000017,d,Elective Inpatients,,136,170,1.25,,181,492,2.718232044,
2020Q3,p,S08000017,,S08000017,d,Elective Inpatients,,288,359,1.246527778,,438,979,2.235159817,
2015Q3,,S08000029,,S08000029,d,Elective Inpatients,,1461,3213,2.199178645,,1460,4470,3.061643836,
2015Q4,,S08000029,,S08000029,d,Elective Inpatients,,1540,3377,2.192857143,,1555,5013,3.223794212,
2016Q1,,S08000029,,S08000029,d,Elective Inpatients,,1518,3428,2.258234519,,1518,4398,2.897233202,
2016Q2,,S08000029,,S08000029,d,Elective Inpatients,,1512,3261,2.156746032,,1518,4888,3.22002635,
2016Q3,,S08000029,,S08000029,d,Elective Inpatients,,1403,3407,2.428367783,,1416,4678,3.303672316,
2016Q4,,S08000029,,S08000029,d,Elective Inpatients,,1405,2925,2.081850534,,1412,3831,2.713172805,
2017Q1,,S08000029,,S08000029,d,Elective Inpatients,,1364,2716,1.991202346,,1370,3915,2.857664234,
2017Q2,,S08000029,,S08000029,d,Elective Inpatients,,1262,2546,2.017432647,,1274,3359,2.636577708,
2017Q3,,S08000029,,S08000029,d,Elective Inpatients,,1377,2906,2.110384895,,1393,3787,2.718592965,
2017Q4,,S08000029,,S08000029,d,Elective Inpatients,,1257,2841,2.260143198,,1276,3635,2.848746082,
2018Q1,,S08000029,,S08000029,d,Elective Inpatients,,1214,2290,1.886326194,,1215,3022,2.487242798,
2018Q2,,S08000029,,S08000029,d,Elective Inpatients,,1333,2714,2.036009002,,1337,3586,2.682124159,
2018Q3,,S08000029,,S08000029,d,Elective Inpatients,,1227,2416,1.969030155,,1248,3546,2.841346154,
2018Q4,,S08000029,,S08000029,d,Elective Inpatients,,1252,2680,2.14057508,,1265,3806,3.008695652,
2019Q1,,S08000029,,S08000029,d,Elective Inpatients,,1244,2372,1.906752412,,1254,3423,2.729665072,
2019Q2,,S08000029,,S08000029,d,Elective Inpatients,,1277,2179,1.706342991,,1297,3456,2.66461064,
2019Q3,,S08000029,,S08000029,d,Elective Inpatients,,1269,2218,1.747832939,,1283,3130,2.4395947,
2019Q4,,S08000029,,S08000029,d,Elective Inpatients,,1320,2542,1.925757576,,1340,3610,2.694029851,
2020Q1,,S08000029,,S08000029,d,Elective Inpatients,,1161,2113,1.819982773,,1201,3327,2.770191507,
2020Q2,,S08000029,,S08000029,d,Elective Inpatients,,286,442,1.545454545,,295,815,2.762711864,
2020Q3,p,S08000029,,S08000029,d,Elective Inpatients,,787,1284,1.631512071,,807,2037,2.524163569,
2015Q3,,S08000029,,F805H,,Elective Inpatients,,124,120,0.967741935,,135,195,1.444444444,
2015Q4,,S08000029,,F805H,,Elective Inpatients,,153,145,0.947712418,,164,174,1.06097561,
2016Q1,,S08000029,,F805H,,Elective Inpatients,,140,200,1.428571429,,151,226,1.496688742,
2016Q2,,S08000029,,F805H,,Elective Inpatients,,145,145,1,,153,265,1.732026144,
2016Q3,,S08000029,,F805H,,Elective Inpatients,,160,150,0.9375,,170,396,2.329411765,
2016Q4,,S08000029,,F805H,,Elective Inpatients,,163,165,1.012269939,,170,205,1.205882353,
2017Q1,,S08000029,,F805H,,Elective Inpatients,,114,105,0.921052632,,125,185,1.48,
2017Q2,,S08000029,,F805H,,Elective Inpatients,,128,255,1.9921875,,135,170,1.259259259,
2017Q3,,S08000029,,F805H,,Elective Inpatients,,155,155,1,,160,170,1.0625,
2017Q4,,S08000029,,F805H,,Elective Inpatients,,124,100,0.806451613,,135,172,1.274074074,
2018Q1,,S08000029,,F805H,,Elective Inpatients,,155,160,1.032258065,,160,227,1.41875,
2018Q2,,S08000029,,F805H,,Elective Inpatients,,141,140,0.992907801,,145,185,1.275862069,
2018Q3,,S08000029,,F805H,,Elective Inpatients,,105,115,1.095238095,,114,145,1.271929825,
2018Q4,,S08000029,,F805H,,Elective Inpatients,,125,120,0.96,,127,137,1.078740157,
2019Q1,,S08000029,,F805H,,Elective Inpatients,,137,140,1.02189781,,141,184,1.304964539,
2019Q2,,S08000029,,F805H,,Elective Inpatients,,145,145,1,,145,153,1.055172414,
2019Q3,,S08000029,,F805H,,Elective Inpatients,,130,140,1.076923077,,135,170,1.259259259,
2019Q4,,S08000029,,F805H,,Elective Inpatients,,151,175,1.158940397,,160,260,1.625,
2020Q1,,S08000029,,F805H,,Elective Inpatients,,130,125,0.961538462,,135,229,1.696296296,
2020Q3,p,S08000029,,F805H,,Elective Inpatients,,70,65,0.928571429,,75,95,1.266666667,
2015Q3,,S08000029,,F704H,,Elective Inpatients,,1337,3095,2.314884069,,1326,4277,3.225490196,
2015Q4,,S08000029,,F704H,,Elective Inpatients,,1385,3200,2.310469314,,1389,4808,3.461483081,
2016Q1,,S08000029,,F704H,,Elective Inpatients,,1377,3210,2.331154684,,1367,4172,3.051938552,
2016Q2,,S08000029,,F704H,,Elective Inpatients,,1364,3100,2.272727273,,1365,4620,3.384615385,
2016Q3,,S08000029,,F704H,,Elective Inpatients,,1242,3150,2.536231884,,1246,4282,3.436597111,
2016Q4,,S08000029,,F704H,,Elective Inpatients,,1242,2760,2.222222222,,1242,3627,2.920289855,
2017Q1,,S08000029,,F704H,,Elective Inpatients,,1250,2610,2.088,,1245,3730,2.995983936,
2017Q2,,S08000029,,F704H,,Elective Inpatients,,1131,2270,2.007073386,,1138,3168,2.783831283,
2017Q3,,S08000029,,F704H,,Elective Inpatients,,1222,2745,2.246317512,,1233,3608,2.926196269,
2017Q4,,S08000029,,F704H,,Elective Inpatients,,1131,2705,2.391688771,,1141,3463,3.035056968,
2018Q1,,S08000029,,F704H,,Elective Inpatients,,1056,2060,1.950757576,,1053,2723,2.585944919,
2018Q2,,S08000029,,F704H,,Elective Inpatients,,1190,2535,2.130252101,,1189,3337,2.806560135,
2018Q3,,S08000029,,F704H,,Elective Inpatients,,1119,2285,2.042001787,,1133,3387,2.98940865,
2018Q4,,S08000029,,F704H,,Elective Inpatients,,1128,2545,2.256205674,,1137,3656,3.215479332,
2019Q1,,S08000029,,F704H,,Elective Inpatients,,1105,2205,1.995475113,,1111,3214,2.892889289,
2019Q2,,S08000029,,F704H,,Elective Inpatients,,1130,2000,1.769911504,,1148,3268,2.846689895,
