Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2020Q1,,SB0801,,D102H,,Elective Inpatients,,2,,350,782,2.234285714,,356,1983,5.570224719,
2020Q2,,SB0801,,D102H,,Elective Inpatients,,2,,133,308,2.315789474,,137,940,6.861313869,
2020Q3,p,SB0801,,D102H,,Elective Inpatients,,2,,257,560,2.178988327,,259,1317,5.084942085,
2015Q3,,SB0801,,D102H,,Elective Inpatients,,3,,404,1292,3.198019802,,401,1928,4.80798005,
2015Q4,,SB0801,,D102H,,Elective Inpatients,,3,,441,1283,2.909297052,,440,1945,4.420454545,
2016Q1,,SB0801,,D102H,,Elective Inpatients,,3,,425,1347,3.169411765,,423,2405,5.685579196,
2016Q2,,SB0801,,D102H,,Elective Inpatients,,3,,444,1245,2.804054054,,443,2254,5.088036117,
2016Q3,,SB0801,,D102H,,Elective Inpatients,,3,,412,1383,3.356796117,,409,2016,4.929095355,
2016Q4,,SB0801,,D102H,,Elective Inpatients,,3,,374,1013,2.70855615,,382,1892,4.952879581,
2017Q1,,SB0801,,D102H,,Elective Inpatients,,3,,399,1094,2.741854637,,402,1799,4.475124378,
2017Q2,,SB0801,,D102H,,Elective Inpatients,,3,,367,918,2.501362398,,378,1834,4.851851852,
2017Q3,,SB0801,,D102H,,Elective Inpatients,,3,,422,1116,2.644549763,,431,1967,4.563805104,
2017Q4,,SB0801,,D102H,,Elective Inpatients,,3,,400,1062,2.655,,400,1980,4.95,
2018Q1,,SB0801,,D102H,,Elective Inpatients,,3,,428,1063,2.48364486,,423,2025,4.787234043,
2018Q2,,SB0801,,D102H,,Elective Inpatients,,3,,381,1012,2.656167979,,374,1684,4.502673797,
2018Q3,,SB0801,,D102H,,Elective Inpatients,,3,,458,1211,2.644104803,,468,2190,4.679487179,
2018Q4,,SB0801,,D102H,,Elective Inpatients,,3,,463,1205,2.602591793,,462,1896,4.103896104,
2019Q1,,SB0801,,D102H,,Elective Inpatients,,3,,431,1043,2.419953596,,436,1694,3.885321101,
2019Q2,,SB0801,,D102H,,Elective Inpatients,,3,,426,988,2.319248826,,423,1667,3.940898345,
2019Q3,,SB0801,,D102H,,Elective Inpatients,,3,,428,1052,2.457943925,,427,2145,5.023419204,
2019Q4,,SB0801,,D102H,,Elective Inpatients,,3,,389,934,2.401028278,,399,2055,5.15037594,
2020Q1,,SB0801,,D102H,,Elective Inpatients,,3,,344,802,2.331395349,,340,1717,5.05,
2020Q2,,SB0801,,D102H,,Elective Inpatients,,3,,148,471,3.182432432,,144,1055,7.326388889,
2020Q3,p,SB0801,,D102H,,Elective Inpatients,,3,,200,403,2.015,,201,1084,5.393034826,
2015Q3,,SB0801,,D102H,,Elective Inpatients,,4,,343,1182,3.44606414,,340,1673,4.920588235,
2015Q4,,SB0801,,D102H,,Elective Inpatients,,4,,385,1252,3.251948052,,381,1832,4.80839895,
2016Q1,,SB0801,,D102H,,Elective Inpatients,,4,,349,931,2.667621777,,338,1514,4.479289941,
2016Q2,,SB0801,,D102H,,Elective Inpatients,,4,,387,1240,3.204134367,,391,1868,4.777493606,
2016Q3,,SB0801,,D102H,,Elective Inpatients,,4,,394,1139,2.890862944,,397,1783,4.491183879,
2016Q4,,SB0801,,D102H,,Elective Inpatients,,4,,372,986,2.650537634,,378,1640,4.338624339,
2017Q1,,SB0801,,D102H,,Elective Inpatients,,4,,389,944,2.426735219,,384,1494,3.890625,
2017Q2,,SB0801,,D102H,,Elective Inpatients,,4,,356,971,2.72752809,,358,1507,4.209497207,
2017Q3,,SB0801,,D102H,,Elective Inpatients,,4,,364,1017,2.793956044,,370,1638,4.427027027,
2017Q4,,SB0801,,D102H,,Elective Inpatients,,4,,365,993,2.720547945,,368,1844,5.010869565,
2018Q1,,SB0801,,D102H,,Elective Inpatients,,4,,371,1207,3.253369272,,361,1745,4.833795014,
2018Q2,,SB0801,,D102H,,Elective Inpatients,,4,,385,1008,2.618181818,,390,1748,4.482051282,
2018Q3,,SB0801,,D102H,,Elective Inpatients,,4,,410,1013,2.470731707,,409,1756,4.293398533,
2018Q4,,SB0801,,D102H,,Elective Inpatients,,4,,372,915,2.459677419,,372,1612,4.333333333,
2019Q1,,SB0801,,D102H,,Elective Inpatients,,4,,407,893,2.194103194,,409,1641,4.012224939,
2019Q2,,SB0801,,D102H,,Elective Inpatients,,4,,340,825,2.426470588,,339,1359,4.008849558,
2019Q3,,SB0801,,D102H,,Elective Inpatients,,4,,349,794,2.275071633,,357,1562,4.37535014,
2019Q4,,SB0801,,D102H,,Elective Inpatients,,4,,359,1076,2.997214485,,369,1822,4.937669377,
2020Q1,,SB0801,,D102H,,Elective Inpatients,,4,,354,776,2.192090395,,359,1341,3.735376045,
2020Q2,,SB0801,,D102H,,Elective Inpatients,,4,,107,192,1.794392523,,100,594,5.94,
2020Q3,p,SB0801,,D102H,,Elective Inpatients,,4,,205,453,2.209756098,,213,1102,5.17370892,
2015Q3,,SB0801,,D102H,,Elective Inpatients,,5,,342,859,2.511695906,,335,1438,4.292537313,
2015Q4,,SB0801,,D102H,,Elective Inpatients,,5,,323,897,2.777089783,,325,1531,4.710769231,
2016Q1,,SB0801,,D102H,,Elective Inpatients,,5,,344,912,2.651162791,,343,1490,4.344023324,
2016Q2,,SB0801,,D102H,,Elective Inpatients,,5,,308,793,2.574675325,,313,1280,4.089456869,
2016Q3,,SB0801,,D102H,,Elective Inpatients,,5,,305,832,2.727868852,,314,1244,3.961783439,
2016Q4,,SB0801,,D102H,,Elective Inpatients,,5,,291,758,2.604810997,,298,1220,4.093959732,
2017Q1,,SB0801,,D102H,,Elective Inpatients,,5,,335,838,2.501492537,,332,1563,4.707831325,
2017Q2,,SB0801,,D102H,,Elective Inpatients,,5,,358,814,2.273743017,,366,1593,4.352459016,
2017Q3,,SB0801,,D102H,,Elective Inpatients,,5,,304,820,2.697368421,,308,1330,4.318181818,
2017Q4,,SB0801,,D102H,,Elective Inpatients,,5,,340,832,2.447058824,,341,1392,4.082111437,
2018Q1,,SB0801,,D102H,,Elective Inpatients,,5,,354,914,2.581920904,,348,1620,4.655172414,
2018Q2,,SB0801,,D102H,,Elective Inpatients,,5,,371,990,2.668463612,,375,1602,4.272,
2018Q3,,SB0801,,D102H,,Elective Inpatients,,5,,345,840,2.434782609,,348,1495,4.295977011,
2018Q4,,SB0801,,D102H,,Elective Inpatients,,5,,386,792,2.051813472,,392,1405,3.584183673,
2019Q1,,SB0801,,D102H,,Elective Inpatients,,5,,362,679,1.875690608,,372,1171,3.147849462,
2019Q2,,SB0801,,D102H,,Elective Inpatients,,5,,349,733,2.100286533,,355,1277,3.597183099,
2019Q3,,SB0801,,D102H,,Elective Inpatients,,5,,309,755,2.443365696,,308,1205,3.912337662,
2019Q4,,SB0801,,D102H,,Elective Inpatients,,5,,317,692,2.1829653,,323,1343,4.157894737,
2020Q1,,SB0801,,D102H,,Elective Inpatients,,5,,309,608,1.96763754,,308,1256,4.077922078,
2020Q2,,SB0801,,D102H,,Elective Inpatients,,5,,83,120,1.445783133,,85,505,5.941176471,
2020Q3,p,SB0801,,D102H,,Elective Inpatients,,5,,221,453,2.049773756,,209,871,4.167464115,
2015Q3,,SB0801,,D102H,,Elective Inpatients,, ,:,5,15,3,,5,58,11.6,
2015Q4,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,17, ,z
2016Q1,,SB0801,,D102H,,Elective Inpatients,, ,:,10,11,1.1,,5,50,10,
2016Q2,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,5,65,13,
2016Q3,,SB0801,,D102H,,Elective Inpatients,, ,:,0,5, ,z,0,11, ,z
2016Q4,,SB0801,,D102H,,Elective Inpatients,, ,:,0,5, ,z,0,5, ,z
2017Q1,,SB0801,,D102H,,Elective Inpatients,, ,:,0,8, ,z,0,8, ,z
2018Q1,,SB0801,,D102H,,Elective Inpatients,, ,:,5,0,0,,5,0,0,
2018Q2,,SB0801,,D102H,,Elective Inpatients,, ,:,0,11, ,z,0,10, ,z
2018Q3,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q1,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,18, ,z
2019Q3,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q4,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2020Q3,p,SB0801,,D102H,,Elective Inpatients,, ,:,0,5, ,z,0,0, ,z
2015Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,428,1097,2.563084112,,421,2341,5.560570071,
2015Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,447,1299,2.906040268,,452,2641,5.842920354,
2016Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,474,1217,2.567510549,,474,2499,5.272151899,
2016Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,447,1221,2.731543624,,440,2106,4.786363636,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,393,855,2.175572519,,402,2524,6.278606965,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,395,1045,2.64556962,,401,2021,5.039900249,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,431,1006,2.334106729,,427,1990,4.660421546,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,392,901,2.298469388,,392,2090,5.331632653,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,364,968,2.659340659,,368,1811,4.921195652,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,422,946,2.241706161,,440,2144,4.872727273,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,434,1086,2.502304147,,417,1958,4.695443645,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,444,1049,2.362612613,,437,2103,4.812356979,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,439,855,1.9476082,,460,2293,4.984782609,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,447,901,2.015659955,,457,1939,4.242888403,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,479,981,2.048016701,,480,1995,4.15625,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,441,863,1.9569161,,444,2093,4.713963964,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,404,911,2.254950495,,407,2378,5.842751843,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,390,791,2.028205128,,399,2231,5.591478697,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,356,664,1.865168539,,357,1761,4.932773109,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,180,303,1.683333333,,163,957,5.871165644,
2020Q3,p,SB0801,,SB0801,d,Elective Inpatients,,1,,298,610,2.046979866,,310,1730,5.580645161,
2015Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,443,1210,2.731376975,,430,2067,4.806976744,
2015Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,439,1267,2.886104784,,450,2441,5.424444444,
2016Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,443,1204,2.717832957,,435,2003,4.604597701,
2016Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,444,1186,2.671171171,,439,2512,5.722095672,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,492,1331,2.705284553,,490,2275,4.642857143,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,414,1187,2.867149758,,427,2244,5.255269321,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,411,1289,3.136253041,,401,1805,4.501246883,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,392,920,2.346938776,,404,2139,5.294554455,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,420,1016,2.419047619,,428,1977,4.619158879,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,453,1176,2.59602649,,458,2343,5.115720524,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,393,886,2.254452926,,398,1650,4.145728643,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,430,1013,2.355813953,,428,1951,4.558411215,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,432,973,2.252314815,,442,1994,4.511312217,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,443,1012,2.284424379,,455,1819,3.997802198,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,407,803,1.972972973,,412,1668,4.048543689,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,405,905,2.234567901,,400,1694,4.235,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,384,792,2.0625,,392,1877,4.788265306,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,368,837,2.274456522,,384,2157,5.6171875,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,350,782,2.234285714,,356,1983,5.570224719,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,133,308,2.315789474,,137,940,6.861313869,
2020Q3,p,SB0801,,SB0801,d,Elective Inpatients,,2,,257,560,2.178988327,,259,1317,5.084942085,
2015Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,404,1292,3.198019802,,401,1928,4.80798005,
2015Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,441,1283,2.909297052,,440,1945,4.420454545,
2016Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,425,1347,3.169411765,,423,2405,5.685579196,
2016Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,444,1245,2.804054054,,443,2254,5.088036117,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,412,1383,3.356796117,,409,2016,4.929095355,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,374,1013,2.70855615,,382,1892,4.952879581,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,399,1094,2.741854637,,402,1799,4.475124378,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,367,918,2.501362398,,378,1834,4.851851852,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,422,1116,2.644549763,,431,1967,4.563805104,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,400,1062,2.655,,400,1980,4.95,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,428,1063,2.48364486,,423,2025,4.787234043,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,381,1012,2.656167979,,374,1684,4.502673797,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,458,1211,2.644104803,,468,2190,4.679487179,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,463,1205,2.602591793,,462,1896,4.103896104,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,431,1043,2.419953596,,436,1694,3.885321101,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,426,988,2.319248826,,423,1667,3.940898345,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,428,1052,2.457943925,,427,2145,5.023419204,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,389,934,2.401028278,,399,2055,5.15037594,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,344,802,2.331395349,,340,1717,5.05,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,148,471,3.182432432,,144,1055,7.326388889,
2020Q3,p,SB0801,,SB0801,d,Elective Inpatients,,3,,200,403,2.015,,201,1084,5.393034826,
2015Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,343,1182,3.44606414,,340,1673,4.920588235,
2015Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,385,1252,3.251948052,,381,1832,4.80839895,
2016Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,349,931,2.667621777,,338,1514,4.479289941,
2016Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,387,1240,3.204134367,,391,1868,4.777493606,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,394,1139,2.890862944,,397,1783,4.491183879,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,372,986,2.650537634,,378,1640,4.338624339,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,389,944,2.426735219,,384,1494,3.890625,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,356,971,2.72752809,,358,1507,4.209497207,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,364,1017,2.793956044,,370,1638,4.427027027,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,365,993,2.720547945,,368,1844,5.010869565,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,371,1207,3.253369272,,361,1745,4.833795014,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,385,1008,2.618181818,,390,1748,4.482051282,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,410,1013,2.470731707,,409,1756,4.293398533,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,372,915,2.459677419,,372,1612,4.333333333,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,407,893,2.194103194,,409,1641,4.012224939,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,340,825,2.426470588,,339,1359,4.008849558,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,349,794,2.275071633,,357,1562,4.37535014,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,359,1076,2.997214485,,369,1822,4.937669377,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,354,776,2.192090395,,359,1341,3.735376045,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,107,192,1.794392523,,100,594,5.94,
2020Q3,p,SB0801,,SB0801,d,Elective Inpatients,,4,,205,453,2.209756098,,213,1102,5.17370892,
2015Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,342,859,2.511695906,,335,1438,4.292537313,
2015Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,323,897,2.777089783,,325,1531,4.710769231,
2016Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,344,912,2.651162791,,343,1490,4.344023324,
2016Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,308,793,2.574675325,,313,1280,4.089456869,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,305,832,2.727868852,,314,1244,3.961783439,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,291,758,2.604810997,,298,1220,4.093959732,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,335,838,2.501492537,,332,1563,4.707831325,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,358,814,2.273743017,,366,1593,4.352459016,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,304,820,2.697368421,,308,1330,4.318181818,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,340,832,2.447058824,,341,1392,4.082111437,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,354,914,2.581920904,,348,1620,4.655172414,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,371,990,2.668463612,,375,1602,4.272,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,345,840,2.434782609,,348,1495,4.295977011,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,386,792,2.051813472,,392,1405,3.584183673,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,362,679,1.875690608,,372,1171,3.147849462,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,349,733,2.100286533,,355,1277,3.597183099,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,309,755,2.443365696,,308,1205,3.912337662,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,317,692,2.1829653,,323,1343,4.157894737,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,309,608,1.96763754,,308,1256,4.077922078,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,83,118,1.421686747,,85,505,5.941176471,
2020Q3,p,SB0801,,SB0801,d,Elective Inpatients,,5,,221,453,2.049773756,,209,871,4.167464115,
2015Q3,,SB0801,,SB0801,d,Elective Inpatients,, ,:,5,15,3,,5,58,11.6,
2015Q4,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,17, ,z
2016Q1,,SB0801,,SB0801,d,Elective Inpatients,, ,:,10,11,1.1,,5,50,10,
2016Q2,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,5,64,12.8,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,5, ,z,0,11, ,z
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,5, ,z,0,5, ,z
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,8, ,z,0,8, ,z
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,, ,:,5,0,0,,5,0,0,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,11, ,z,0,11, ,z
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,18, ,z
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2020Q3,p,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,5, ,z,0,0, ,z
2015Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,590,1644,2.786440678,,612,2196,3.588235294,
2015Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,536,1699,3.169776119,,562,1966,3.498220641,
2016Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,461,1201,2.605206074,,503,1623,3.226640159,
2016Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,530,1476,2.78490566,,556,2005,3.606115108,
2016Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,450,1379,3.064444444,,473,1911,4.040169133,
2016Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,483,1545,3.198757764,,522,1920,3.67816092,
2017Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,508,1394,2.744094488,,535,1614,3.01682243,
2017Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,472,1421,3.01059322,,503,1915,3.807157058,
2017Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,453,1293,2.854304636,,470,1783,3.793617021,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,477,1383,2.899371069,,511,1949,3.81409002,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,418,1100,2.631578947,,435,1320,3.034482759,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,462,1348,2.917748918,,484,1676,3.462809917,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,398,1016,2.552763819,,425,1425,3.352941176,
